"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"02/1984",257357000
"03/1984",268829000
"04/1984",265872000
"05/1984",277616000
"06/1984",265570000
"07/1984",275432000
"08/1984",273091000
"09/1984",269798000
"10/1984",276075000
"11/1984",269357000
"12/1984",275797000
"01/1985",270926000
"02/1985",252695000
"03/1985",281943000
"04/1985",271299000
"05/1985",283093000
"06/1985",270653000
"07/1985",277410000
"08/1985",272881000
"09/1985",268610000
"10/1985",278068000
"11/1985",267059000
"12/1985",279916000
"01/1986",283248000
"02/1986",256855000
"03/1986",279413000
"04/1986",265917000
"05/1986",273964000
"06/1986",258700000
"07/1986",268448000
"08/1986",259580000
"09/1986",249843000
"10/1986",260984000
"11/1986",252374000
"12/1986",258926000
"01/1987",262888000
"02/1987",234880000
"03/1987",262398000
"04/1987",254945000
"05/1987",258426000
"06/1987",248356000
"07/1987",255782000
"08/1987",254508000
"09/1987",246163000
"10/1987",259272000
"11/1987",251915000
"12/1987",257844000
"01/1988",255743000
"02/1988",242848000
"03/1988",259587000
"04/1988",248629000
"05/1988",255089000
"06/1988",245102000
"07/1988",249229000
"08/1988",250459000
"09/1988",236847000
"10/1988",248704000
"11/1988",240700000
"12/1988",246189000
"01/1989",246056000
"02/1989",218076000
"03/1989",234822000
"04/1989",233147000
"05/1989",242303000
"06/1989",228731000
"07/1989",230766000
"08/1989",233878000
"09/1989",226436000
"10/1989",231036000
"11/1989",226082000
"12/1989",227439000
"01/1990",233931000
"02/1990",209923000
"03/1990",230434000
"04/1990",222215000
"05/1990",227179000
"06/1990",213175000
"07/1990",222371000
"08/1990",225886000
"09/1990",216715000
"10/1990",233799000
"11/1990",221598000
"12/1990",227463000
"01/1991",232498000
"02/1991",213836000
"03/1991",233926000
"04/1991",225256000
"05/1991",229670000
"06/1991",219610000
"07/1991",227756000
"08/1991",226801000
"09/1991",221029000
"10/1991",230557000
"11/1991",219833000
"12/1991",226267000
"01/1992",228178000
"02/1992",214269000
"03/1992",227798000
"04/1992",218775000
"05/1992",222227000
"06/1992",215019000
"07/1992",221064000
"08/1992",214575000
"09/1992",210904000
"10/1992",220898000
"11/1992",210724000
"12/1992",220200000
"01/1993",215791000
"02/1993",194393000
"03/1993",216198000
"04/1993",206439000
"05/1993",212255000
"06/1993",203842000
"07/1993",207339000
